entity,bucket,sub_type,extracted_species_prefix,extracted_gene_symbol,match_status,match_type,confidence_tier,ambiguity_count,selected_uniprot_accession,selected_uniprot_entry_name,selected_uniprot_organism,selected_uniprot_source_tier,selected_phytozome_code,selected_phytozome_gene_id,selected_phytozome_base_gene_id,selected_sequence_length,has_sequence,candidate_summary,notes,expected_phytozome_code,expected_uniprot_mnemonic,species_resolution_status,species_match_status,matched_species_category,all_species_hit_count,species_specific_hit_count
(NADP+)-dependent MDH (oxaloacetate-decarboxylating),D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
"(R, R)-2,3-butanediol dehydrogenase",D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
(S)-2-hydroxy-acid oxidase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
05,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
06,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
08,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
"1,3-beta-glucanases",D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
"1,3-β glucanases",D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
"1,3-β-glucanases",D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
"1,4-beta-D-xylan synthase",D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-acyl-sn-glycerol-3-phosphate acyltransferase-like,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-amino cyclopropane 1-carboxylic acid oxidase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminociclopropano-1-carboxilato deaminase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane carboxylate oxidase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane carboxylate oxidases,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate (ACC) deaminase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate (ACC) synthase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate deaminase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate oxidase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate oxidase 1,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate oxidase 3,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate oxidase homolog 1-like,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate oxidases,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate synthase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate synthase gene,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylate synthases,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylic acid deaminase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-aminocyclopropane-1-carboxylic acid oxidase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID OXIDASE2,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-cys peroxiredoxin A,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-Deoxy-D-Xylulose 5-Phosphate Synthase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-deoxy-D-xylulose-5-phosphate reductoisomerase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-deoxy-D-xylulose-5-phosphate synthase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-deoxy-D-xylulose-5-phosphate synthase gene,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-O-acylglucose: anthocyanin acyltransferase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-phosphatidylinositol-4-phosphate 5-kinase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-pyrrolidone-5-carboxylate synthase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-pyrroline-5-carboxylate dehydrogenase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-pyrroline-5-carboxylate synthase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1-SST,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1.1.1.195,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1.14.14.91,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1.14.20.6,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1.2.1.44,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1.3,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1.4,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1.5,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1.7,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
10,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
10 common genes,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
10 kDa chaperonin,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
10 key genes,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
10-deacetylbaccatin III 10-O-acetyltransferase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
10-geraniol hydroxylase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
101,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
102 R2R3-MYB genes,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
106 R2R3-MYB genes,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
11,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
11-13,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
117 R2R3-MYB genes,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
11S globulins,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
12 bZIP members,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12-OPDA reductase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12-oxo-phytodienoate reductase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12-oxo-phytodienoic acid reductase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12-oxo-phytodienoic acid reductase 3,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12-oxophytodienoate reductase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12-oxophytodienoate reductase 1,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12-oxophytodienoate reductase-like protein,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12-oxophytodienoate reductases,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12-oxophytodienoic acid reductase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12-oxophytodieonate reductase 3,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12KD_FRAAN,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12KD_FRAAN protein,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12S globulins,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
12S/2S protein ratio,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
13,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
13 kDa gliadin,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
13 kDa prolamin,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
13 kDa subunit,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
13-AOS,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
13-LIPOXYGENASE,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
13-LOX,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
13S-lipoxygenase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
13S-lipoxygenase 2,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
14,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
14 kDa proline-rich protein DC2.15,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
14-3-3,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
14-3-3 genes,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
14-3-3 protein,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
14-3-3 protein family,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
14-3-3 proteins,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
14-3-3-like protein A,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
14-3-3s,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
140 R2R3-MYB genes,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
15,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
15 genes,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
15-17,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
15-cis-phytoene desaturase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
15-cis-phytoene synthase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
15-cis-zeta-carotene isomerase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
15-lipoxygenase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
15-LOX,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
16,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
16-kDa γ-zein,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
16:1/18:1 desaturase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
16S rRNA,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
16S rRNA gene,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
16S rRNA sequences,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
16SrRNA,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
17,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
17.7,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
18,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
18S,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
18S ribosomal gene,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
18S rRNA,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
18S rRNA gene,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
18S rRNA genes,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
18SrRNA-1,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
18SrRNA-3,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
19,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
19-21,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
1O2-responsive genes,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
2,E,noise_number,,,skipped_noise,noise_skipped,6,0,,,,,,,,,false,,noise_number,,,not_applicable,not_applicable,noise_skipped,0,0
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
"2,3-oxidosqualene cyclases",D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
"2,4,6-trihydroxybenzophenone synthase",D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
2-alkenal reductase,D,descriptive_name,,,deferred_description,descriptive_deferred,5,0,,,,,,,,,false,,descriptive matching deferred to later version,,,not_applicable,not_applicable,descriptive_deferred,0,0
