entity,original_bucket,original_unresolved_reason,phase8_match_category,phase8_confidence_label,selected_uniprot_accession,selected_uniprot_entry_name,selected_uniprot_organism,selected_uniprot_source_tier,selected_phytozome_code,selected_phytozome_gene_id,selected_sequence_length,description_overlap_score,candidate_summary,notes,phase8_quality_flag,phase8_quality_notes,manual_review_label,manual_review_notes
F3'-5'H,D,needs_description_matching,description_multi_species_ambiguous,low,A0A0C5DJV5,A0A0C5DJV5_GINBI,GINBI,trembl,,,,1.0,A0A0C5DJV5|A0A0C5DJV5_GINBI|GINBI|trembl(ov=1.00); A0A0A0YQ57|A0A0A0YQ57_9LAMI|9LAMI|trembl(ov=1.00); A0A0A0YQ54|A0A0A0YQ54_9LAMI|9LAMI|trembl(ov=1.00); A0A0A0YSE0|A0A0A0YSE0_9LAMI|9LAMI|trembl(ov=1.00); A0A0A0YL61|A0A0A0YL61_9LAMI|9LAMI|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,,,
ATP synthase subunits alpha,D,needs_description_matching,description_partial_match,low,P92549,ATPAM_ARATH,ARATH,sprot,,,,0.75,P92549|ATPAM_ARATH|ARATH|sprot(ov=0.75); Q06735|ATPAM_BETVU|BETVU|sprot(ov=0.75); P68542|ATPAM_BRACM|BRACM|sprot(ov=0.75); Q9XPB2|Q9XPB2_VIGRR|VIGRR|trembl(ov=0.75); B9TPQ9|B9TPQ9_RICCO|RICCO|trembl(ov=0.75),partial description match (coverage),generic_description_warning,generic_description_warning,,
leucocyanidin reductase,D,needs_description_matching,description_single_species_match,medium,Q84V83,LAR_DESUN,DESUN,sprot,,,,1.0,Q84V83|LAR_DESUN|DESUN|sprot(ov=1.00),"strong description match, single organism",ok,,,
Bra003881,C,no_species_no_match,phase8_crossref_uniprot_match,medium,A0A397YNS3,A0A397YNS3_BRACM,BRACM,trembl,,,,,A0A397YNS3|A0A397YNS3_BRACM|BRACM|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene),ok,,,
TkWRKY38,B,unknown_prefix_ambiguous,unknown_prefix_multi_species_ambiguous,low,Q8GWF1,WRK38_ARATH,ARATH,sprot,,,,,Q8GWF1|WRK38_ARATH|ARATH|sprot; Q6QHD1|WRK71_ORYSJ|ORYSJ|sprot,global symbol WRKY38: 2 organisms (ambiguous),ok,,,
MdATG18a,B,unknown_prefix_ambiguous,unknown_prefix_single_species_candidate,medium,Q93VB2,AT18A_ARATH,ARATH,sprot,,,,,Q93VB2|AT18A_ARATH|ARATH|sprot,global symbol ATG18a: single organism ARATH,ok,,,
Os03g0388500,A,excluded_by_filter,phase8_crossref_species_confirmed_match,high,Q0DRF9,Q0DRF9_ORYSJ,ORYSJ,trembl,,,,,Q0DRF9|Q0DRF9_ORYSJ|ORYSJ|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene) (species-confirmed),ok,,,
Prupe.8G018100,D,needs_description_matching,phase8_sequence_confirmed_match,high,,,,,Pper,Prupe.8G018100.1.p,382,,Pper|Prupe.8G018100.1.p|len=382,Phytozome gene-id cross-reference,ok,,,
TUBβ6,D,needs_description_matching,description_multi_species_ambiguous,low,Q38MV0,Q38MV0_SOLLC,SOLLC,trembl,,,,1.0,Q38MV0|Q38MV0_SOLLC|SOLLC|trembl(ov=1.00); Q676U1|Q676U1_NICAT|NICAT|trembl(ov=1.00); V5V322|V5V322_9MAGN|9MAGN|trembl(ov=1.00); D7FRB0|D7FRB0_ECTSI|ECTSI|trembl(ov=1.00); D8LIS2|D8LIS2_ECTSI|ECTSI|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,,,
zinc finger transcription factors,D,needs_description_matching,description_partial_match,low,Q9SEZ1,ZHD11_ARATH,ARATH,sprot,,,,0.75,Q9SEZ1|ZHD11_ARATH|ARATH|sprot(ov=0.75); A2Q2A6|A2Q2A6_MEDTR|MEDTR|trembl(ov=0.75),partial description match (coverage),generic_description_warning,generic_description_warning,,
receptor proteins,D,needs_description_matching,description_single_species_match,medium,A0A0M0JL81,A0A0M0JL81_9EUKA,9EUKA,trembl,,,,1.0,A0A0M0JL81|A0A0M0JL81_9EUKA|9EUKA|trembl(ov=1.00),"strong description match, single organism",multiple_warnings,broad_taxon_warning; non_land_plant_warning; generic_description_warning,,
TraesCS5A02G498000.1,D,needs_description_matching,phase8_crossref_uniprot_match,medium,A0A3B6KQP3,A0A3B6KQP3_WHEAT,WHEAT,trembl,,,,,A0A3B6KQP3|A0A3B6KQP3_WHEAT|WHEAT|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene),ok,,,
IbSAP3,B,unknown_prefix_ambiguous,unknown_prefix_multi_species_ambiguous,low,Q9ZNU9,SAP3_ARATH,ARATH,sprot,,,,,Q9ZNU9|SAP3_ARATH|ARATH|sprot; Q5JN07|SAP3_ORYSJ|ORYSJ|sprot; A2YEZ6|SAP8_ORYSI|ORYSI|sprot; A3BDI8|SAP8_ORYSJ|ORYSJ|sprot,global symbol SAP3: 3 organisms (ambiguous),ok,,,
CiGAD2,B,unknown_prefix_ambiguous,unknown_prefix_single_species_candidate,medium,Q42472,DCE2_ARATH,ARATH,sprot,,,,,Q42472|DCE2_ARATH|ARATH|sprot,global symbol GAD2: single organism ARATH,ok,,,
Os01g0192300,A,excluded_by_filter,phase8_crossref_species_confirmed_match,high,A0A8J8Y229,A0A8J8Y229_ORYSJ,ORYSJ,trembl,,,,,A0A8J8Y229|A0A8J8Y229_ORYSJ|ORYSJ|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene) (species-confirmed),ok,,,
Bol009860,C,no_species_no_match,phase8_sequence_confirmed_match,high,,,,,Bole,Bol009860,259,,Bole|Bol009860|len=259,Phytozome gene-id cross-reference,ok,,,
3-ketoacyl-CoA synthase,D,needs_description_matching,description_multi_species_ambiguous,low,F4K4Q9,F4K4Q9_ARATH,ARATH,trembl,,,,1.0,F4K4Q9|F4K4Q9_ARATH|ARATH|trembl(ov=1.00); A0A1P8AST0|A0A1P8AST0_ARATH|ARATH|trembl(ov=1.00); M9Z3A3|M9Z3A3_GOSRA|GOSRA|trembl(ov=1.00); R1DZ47|R1DZ47_EMIHU|EMIHU|trembl(ov=1.00); A0A4Y7KLK1|A0A4Y7KLK1_PAPSO|PAPSO|trembl(ov=1.00),"strong description match, 6 organisms (ambiguous)",ok,,,
S-adenosylmethionine synthase proteins,D,needs_description_matching,description_partial_match,low,A0AAD7U8D7,A0AAD7U8D7_9STRA,9STRA,trembl,,,,0.75,A0AAD7U8D7|A0AAD7U8D7_9STRA|9STRA|trembl(ov=0.75); A0A438J3A4|A0A438J3A4_VITVI|VITVI|trembl(ov=0.75); A0A5N6QMJ9|A0A5N6QMJ9_9ROSI|9ROSI|trembl(ov=0.75); A0A9Q1KP45|A0A9Q1KP45_9CARY|9CARY|trembl(ov=0.75); A0A445EPR6|A0A445EPR6_ARAHY|ARAHY|trembl(ov=0.75),partial description match (coverage),broad_taxon_warning,broad_taxon_warning,,
UDP-glucosyltransferases,D,needs_description_matching,description_single_species_match,medium,A0A061DZD8,A0A061DZD8_THECC,THECC,trembl,,,,1.0,A0A061DZD8|A0A061DZD8_THECC|THECC|trembl(ov=1.00),"strong description match, single organism",ok,,,
TraesCS2B02G201400,D,needs_description_matching,phase8_crossref_uniprot_match,medium,A0A3B6C310,A0A3B6C310_WHEAT,WHEAT,trembl,,,,,A0A3B6C310|A0A3B6C310_WHEAT|WHEAT|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene),ok,,,
MsCesA8,B,unknown_prefix_ambiguous,unknown_prefix_multi_species_ambiguous,low,Q8LPK5,CESA8_ARATH,ARATH,sprot,,,,,Q8LPK5|CESA8_ARATH|ARATH|sprot; Q84ZN6|CESA8_ORYSJ|ORYSJ|sprot,global symbol CesA8: 2 organisms (ambiguous),ok,,,
OeWRI1,B,unknown_prefix_ambiguous,unknown_prefix_single_species_candidate,medium,Q6X5Y6,WRI1_ARATH,ARATH,sprot,,,,,Q6X5Y6|WRI1_ARATH|ARATH|sprot,global symbol WRI1: single organism ARATH,ok,,,
Os04g0111200,A,excluded_by_filter,phase8_crossref_species_confirmed_match,high,Q0JFE2,Q0JFE2_ORYSJ,ORYSJ,trembl,,,,,Q0JFE2|Q0JFE2_ORYSJ|ORYSJ|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene) (species-confirmed),ok,,,
Prupe.4G058300,D,needs_description_matching,phase8_sequence_confirmed_match,high,,,,,Pper,Prupe.4G058300.1.p,573,,Pper|Prupe.4G058300.1.p|len=573,Phytozome gene-id cross-reference,ok,,,
anthocyanin 5-O-glucosyltransferase,D,needs_description_matching,description_multi_species_ambiguous,low,M0ZZW1,M0ZZW1_SOLTU,SOLTU,trembl,,,,1.0,M0ZZW1|M0ZZW1_SOLTU|SOLTU|trembl(ov=1.00); M0ZZV9|M0ZZV9_SOLTU|SOLTU|trembl(ov=1.00); Q0WW21|U75C1_ARATH|ARATH|sprot(ov=1.00); A0A4D6NH40|A0A4D6NH40_VIGUN|VIGUN|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,,,
Tobacco etch virus (TEV) NIa protein,D,needs_description_matching,description_partial_match,low,D9UBI3,RTM1A_ARATH,ARATH,sprot,,,,0.75,D9UBI3|RTM1A_ARATH|ARATH|sprot(ov=0.75); D9UBG0|RTM1B_ARATH|ARATH|sprot(ov=0.75); D5K211|RTM2A_ARATH|ARATH|sprot(ov=0.75); D9UBX6|RTM2B_ARATH|ARATH|sprot(ov=0.75); D9UBX4|RTM2C_ARATH|ARATH|sprot(ov=0.75),partial description match (coverage),virus_term_warning,virus_term_warning,,
NAC transcription factors,D,needs_description_matching,description_single_species_match,medium,A0A0M3R851,A0A0M3R851_MANES,MANES,trembl,,,,1.0,A0A0M3R851|A0A0M3R851_MANES|MANES|trembl(ov=1.00); A0A0M4FP05|A0A0M4FP05_MANES|MANES|trembl(ov=1.00); A0A0M3R866|A0A0M3R866_MANES|MANES|trembl(ov=1.00); A0A0M4FBQ8|A0A0M4FBQ8_MANES|MANES|trembl(ov=1.00); A0A0M4FSG8|A0A0M4FSG8_MANES|MANES|trembl(ov=1.00),"strong description match, single organism",generic_description_warning,generic_description_warning,,
TraesCS2A02G444900.1,D,needs_description_matching,phase8_crossref_uniprot_match,medium,A0A3B6B4U0,A0A3B6B4U0_WHEAT,WHEAT,trembl,,,,,A0A3B6B4U0|A0A3B6B4U0_WHEAT|WHEAT|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene),ok,,,
HsCIPK9,B,unknown_prefix_ambiguous,unknown_prefix_multi_species_ambiguous,low,Q9MAM1,CIPK9_ARATH,ARATH,sprot,,,,,Q9MAM1|CIPK9_ARATH|ARATH|sprot; Q10SC8|CIPK9_ORYSJ|ORYSJ|sprot,global symbol CIPK9: 2 organisms (ambiguous),ok,,,
TkWRKY10,B,unknown_prefix_ambiguous,unknown_prefix_single_species_candidate,medium,Q9LG05,WRK10_ARATH,ARATH,sprot,,,,,Q9LG05|WRK10_ARATH|ARATH|sprot,global symbol WRKY10: single organism ARATH,ok,,,
Os09g0106700,A,excluded_by_filter,phase8_crossref_species_confirmed_match,high,Q0J3I9,Q0J3I9_ORYSJ,ORYSJ,trembl,,,,,Q0J3I9|Q0J3I9_ORYSJ|ORYSJ|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene) (species-confirmed),ok,,,
Bol009568,C,no_species_no_match,phase8_sequence_confirmed_match,high,,,,,Bole,Bol009568,822,,Bole|Bol009568|len=822,Phytozome gene-id cross-reference,ok,,,
brassinosteroid receptor 1,D,needs_description_matching,description_multi_species_ambiguous,low,Q9FTL1,Q9FTL1_ORYSJ,ORYSJ,trembl,,,,1.0,Q9FTL1|Q9FTL1_ORYSJ|ORYSJ|trembl(ov=1.00); A0A2P6TIN8|A0A2P6TIN8_CHLSO|CHLSO|trembl(ov=1.00); A0A438I5V7|A0A438I5V7_VITVI|VITVI|trembl(ov=1.00); A0A1D6F562|A0A1D6F562_MAIZE|MAIZE|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",generic_description_warning,generic_description_warning,,
Ubiquinol oxidase-alternative oxidases,D,needs_description_matching,description_partial_match,low,Q40294,AOX1_MANIN,MANIN,sprot,,,,0.75,Q40294|AOX1_MANIN|MANIN|sprot(ov=0.75); Q07185|AOX1_SOYBN|SOYBN|sprot(ov=0.75); Q41224|AOX1_TOBAC|TOBAC|sprot(ov=0.75); O22049|AOX2_ARATH|ARATH|sprot(ov=0.75); O23913|AOX1B_ARATH|ARATH|sprot(ov=0.75),partial description match (coverage),ok,,,
auxin-amino acid conjugate hydrolases,D,needs_description_matching,description_single_species_match,medium,Q0GXX4,Q0GXX4_MEDTR,MEDTR,trembl,,,,0.8,Q0GXX4|Q0GXX4_MEDTR|MEDTR|trembl(ov=0.80); Q0GXX6|Q0GXX6_MEDTR|MEDTR|trembl(ov=0.80); Q0GXX5|Q0GXX5_MEDTR|MEDTR|trembl(ov=0.80); Q0GXX3|Q0GXX3_MEDTR|MEDTR|trembl(ov=0.80),"strong description match, single organism",ok,,,
TraesCS5D03G0667400,D,needs_description_matching,phase8_crossref_uniprot_match,medium,A0A3B6MVT4,A0A3B6MVT4_WHEAT,WHEAT,trembl,,,,,A0A3B6MVT4|A0A3B6MVT4_WHEAT|WHEAT|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene),ok,,,
FvGRF6,B,unknown_prefix_ambiguous,unknown_prefix_multi_species_ambiguous,low,P48349,14336_ARATH,ARATH,sprot,,,,,P48349|14336_ARATH|ARATH|sprot; A0A060D764|GRF1_MAIZE|MAIZE|sprot; Q9ZQ12|GRF6_ARATH|ARATH|sprot; Q6AWY3|GRF6_ORYSJ|ORYSJ|sprot,global symbol GRF6: 3 organisms (ambiguous),ok,,,
AcMYB102,B,unknown_prefix_ambiguous,unknown_prefix_single_species_candidate,medium,Q9LDR8,MY102_ARATH,ARATH,sprot,,,,,Q9LDR8|MY102_ARATH|ARATH|sprot,global symbol MYB102: single organism ARATH,ok,,,
Os09g0296400,A,excluded_by_filter,phase8_crossref_species_confirmed_match,high,A0A0P0XKW6,A0A0P0XKW6_ORYSJ,ORYSJ,trembl,,,,,A0A0P0XKW6|A0A0P0XKW6_ORYSJ|ORYSJ|trembl,UniProt cross-reference id (refseq/ensembl/tair/gramene) (species-confirmed),ok,,,
Bol007667,C,no_species_no_match,phase8_sequence_confirmed_match,high,,,,,Bole,Bol007667,462,,Bole|Bol007667|len=462,Phytozome gene-id cross-reference,ok,,,
