protein_json_id,entity,full_json_path,best_only_json_path,dataset_membership,has_sequence,sequence_ref,match_count,best_match_category
protein_000064,1.7,outputs/json_dataset/full/protein_000064.json,outputs/json_dataset/best_only/protein_000064.json,unresolved,false,,0,descriptive_deferred
protein_000065,10,outputs/json_dataset/full/protein_000065.json,outputs/json_dataset/best_only/protein_000065.json,unresolved,false,,0,noise_skipped
protein_000066,10 common genes,outputs/json_dataset/full/protein_000066.json,outputs/json_dataset/best_only/protein_000066.json,unresolved,false,,0,descriptive_deferred
protein_000067,10 kDa chaperonin,outputs/json_dataset/full/protein_000067.json,outputs/json_dataset/best_only/protein_000067.json,unresolved,false,,0,descriptive_deferred
protein_000068,10 key genes,outputs/json_dataset/full/protein_000068.json,outputs/json_dataset/best_only/protein_000068.json,unresolved,false,,0,descriptive_deferred
protein_000069,10-deacetylbaccatin III 10-O-acetyltransferase,outputs/json_dataset/full/protein_000069.json,outputs/json_dataset/best_only/protein_000069.json,unresolved,false,,0,descriptive_deferred
protein_000070,10-geraniol hydroxylase,outputs/json_dataset/full/protein_000070.json,outputs/json_dataset/best_only/protein_000070.json,unresolved,false,,0,descriptive_deferred
protein_000071,101,outputs/json_dataset/full/protein_000071.json,outputs/json_dataset/best_only/protein_000071.json,unresolved,false,,0,noise_skipped
protein_000072,102 R2R3-MYB genes,outputs/json_dataset/full/protein_000072.json,outputs/json_dataset/best_only/protein_000072.json,unresolved,false,,0,descriptive_deferred
protein_000073,106 R2R3-MYB genes,outputs/json_dataset/full/protein_000073.json,outputs/json_dataset/best_only/protein_000073.json,unresolved,false,,0,descriptive_deferred
protein_000074,11,outputs/json_dataset/full/protein_000074.json,outputs/json_dataset/best_only/protein_000074.json,unresolved,false,,0,noise_skipped
protein_000075,11-13,outputs/json_dataset/full/protein_000075.json,outputs/json_dataset/best_only/protein_000075.json,unresolved,false,,0,descriptive_deferred
protein_000076,117 R2R3-MYB genes,outputs/json_dataset/full/protein_000076.json,outputs/json_dataset/best_only/protein_000076.json,unresolved,false,,0,descriptive_deferred
protein_000077,11S globulins,outputs/json_dataset/full/protein_000077.json,outputs/json_dataset/best_only/protein_000077.json,unresolved,false,,0,descriptive_deferred
protein_000078,12,outputs/json_dataset/full/protein_000078.json,outputs/json_dataset/best_only/protein_000078.json,unresolved,false,,0,noise_skipped
protein_000079,12 bZIP members,outputs/json_dataset/full/protein_000079.json,outputs/json_dataset/best_only/protein_000079.json,unresolved,false,,0,descriptive_deferred
protein_000080,12-OPDA reductase,outputs/json_dataset/full/protein_000080.json,outputs/json_dataset/best_only/protein_000080.json,unresolved,false,,0,descriptive_deferred
protein_000081,12-oxo-phytodienoate reductase,outputs/json_dataset/full/protein_000081.json,outputs/json_dataset/best_only/protein_000081.json,unresolved,false,,0,descriptive_deferred
protein_000082,12-oxo-phytodienoic acid reductase,outputs/json_dataset/full/protein_000082.json,outputs/json_dataset/best_only/protein_000082.json,unresolved,false,,0,descriptive_deferred
protein_000083,12-oxo-phytodienoic acid reductase 3,outputs/json_dataset/full/protein_000083.json,outputs/json_dataset/best_only/protein_000083.json,unresolved,false,,0,descriptive_deferred
protein_000084,12-oxophytodienoate reductase,outputs/json_dataset/full/protein_000084.json,outputs/json_dataset/best_only/protein_000084.json,unresolved,false,,0,descriptive_deferred
protein_000085,12-oxophytodienoate reductase 1,outputs/json_dataset/full/protein_000085.json,outputs/json_dataset/best_only/protein_000085.json,unresolved,false,,0,descriptive_deferred
protein_000086,12-oxophytodienoate reductase-like protein,outputs/json_dataset/full/protein_000086.json,outputs/json_dataset/best_only/protein_000086.json,unresolved,false,,0,descriptive_deferred
protein_000087,12-oxophytodienoate reductases,outputs/json_dataset/full/protein_000087.json,outputs/json_dataset/best_only/protein_000087.json,unresolved,false,,0,descriptive_deferred
protein_000088,12-oxophytodienoic acid reductase,outputs/json_dataset/full/protein_000088.json,outputs/json_dataset/best_only/protein_000088.json,unresolved,false,,0,descriptive_deferred
protein_000089,12-oxophytodieonate reductase 3,outputs/json_dataset/full/protein_000089.json,outputs/json_dataset/best_only/protein_000089.json,unresolved,false,,0,descriptive_deferred
protein_000090,12KD_FRAAN,outputs/json_dataset/full/protein_000090.json,outputs/json_dataset/best_only/protein_000090.json,unresolved,false,,0,descriptive_deferred
protein_000091,12KD_FRAAN protein,outputs/json_dataset/full/protein_000091.json,outputs/json_dataset/best_only/protein_000091.json,unresolved,false,,0,descriptive_deferred
protein_000092,12S globulins,outputs/json_dataset/full/protein_000092.json,outputs/json_dataset/best_only/protein_000092.json,unresolved,false,,0,descriptive_deferred
protein_000093,12S/2S protein ratio,outputs/json_dataset/full/protein_000093.json,outputs/json_dataset/best_only/protein_000093.json,unresolved,false,,0,descriptive_deferred
protein_000094,13,outputs/json_dataset/full/protein_000094.json,outputs/json_dataset/best_only/protein_000094.json,unresolved,false,,0,noise_skipped
protein_000095,13 kDa gliadin,outputs/json_dataset/full/protein_000095.json,outputs/json_dataset/best_only/protein_000095.json,unresolved,false,,0,descriptive_deferred
protein_000096,13 kDa prolamin,outputs/json_dataset/full/protein_000096.json,outputs/json_dataset/best_only/protein_000096.json,unresolved,false,,0,descriptive_deferred
protein_000097,13 kDa subunit,outputs/json_dataset/full/protein_000097.json,outputs/json_dataset/best_only/protein_000097.json,unresolved,false,,0,descriptive_deferred
protein_000098,13-AOS,outputs/json_dataset/full/protein_000098.json,outputs/json_dataset/best_only/protein_000098.json,unresolved,false,,0,descriptive_deferred
protein_000099,13-LIPOXYGENASE,outputs/json_dataset/full/protein_000099.json,outputs/json_dataset/best_only/protein_000099.json,unresolved,false,,0,descriptive_deferred
protein_000100,13-LOX,outputs/json_dataset/full/protein_000100.json,outputs/json_dataset/best_only/protein_000100.json,unresolved,false,,0,descriptive_deferred
protein_000101,13S-lipoxygenase,outputs/json_dataset/full/protein_000101.json,outputs/json_dataset/best_only/protein_000101.json,unresolved,false,,0,descriptive_deferred
protein_000102,13S-lipoxygenase 2,outputs/json_dataset/full/protein_000102.json,outputs/json_dataset/best_only/protein_000102.json,unresolved,false,,0,descriptive_deferred
protein_000103,14,outputs/json_dataset/full/protein_000103.json,outputs/json_dataset/best_only/protein_000103.json,unresolved,false,,0,noise_skipped
protein_000104,14 kDa proline-rich protein DC2.15,outputs/json_dataset/full/protein_000104.json,outputs/json_dataset/best_only/protein_000104.json,unresolved,false,,0,descriptive_deferred
protein_000105,14-3-3,outputs/json_dataset/full/protein_000105.json,outputs/json_dataset/best_only/protein_000105.json,unresolved,false,,0,descriptive_deferred
protein_000106,14-3-3 genes,outputs/json_dataset/full/protein_000106.json,outputs/json_dataset/best_only/protein_000106.json,unresolved,false,,0,descriptive_deferred
protein_000107,14-3-3 protein,outputs/json_dataset/full/protein_000107.json,outputs/json_dataset/best_only/protein_000107.json,unresolved,false,,0,descriptive_deferred
protein_000108,14-3-3 protein family,outputs/json_dataset/full/protein_000108.json,outputs/json_dataset/best_only/protein_000108.json,unresolved,false,,0,descriptive_deferred
protein_000109,14-3-3 proteins,outputs/json_dataset/full/protein_000109.json,outputs/json_dataset/best_only/protein_000109.json,unresolved,false,,0,descriptive_deferred
protein_000110,14-3-3-like protein A,outputs/json_dataset/full/protein_000110.json,outputs/json_dataset/best_only/protein_000110.json,unresolved,false,,0,descriptive_deferred
protein_000111,14-3-3s,outputs/json_dataset/full/protein_000111.json,outputs/json_dataset/best_only/protein_000111.json,unresolved,false,,0,descriptive_deferred
protein_000112,140 R2R3-MYB genes,outputs/json_dataset/full/protein_000112.json,outputs/json_dataset/best_only/protein_000112.json,unresolved,false,,0,descriptive_deferred
protein_000113,15,outputs/json_dataset/full/protein_000113.json,outputs/json_dataset/best_only/protein_000113.json,unresolved,false,,0,noise_skipped
protein_000114,15 genes,outputs/json_dataset/full/protein_000114.json,outputs/json_dataset/best_only/protein_000114.json,unresolved,false,,0,descriptive_deferred
protein_000115,15-17,outputs/json_dataset/full/protein_000115.json,outputs/json_dataset/best_only/protein_000115.json,unresolved,false,,0,descriptive_deferred
protein_000116,15-cis-phytoene desaturase,outputs/json_dataset/full/protein_000116.json,outputs/json_dataset/best_only/protein_000116.json,unresolved,false,,0,descriptive_deferred
protein_000117,15-cis-phytoene synthase,outputs/json_dataset/full/protein_000117.json,outputs/json_dataset/best_only/protein_000117.json,unresolved,false,,0,descriptive_deferred
protein_000118,15-cis-zeta-carotene isomerase,outputs/json_dataset/full/protein_000118.json,outputs/json_dataset/best_only/protein_000118.json,unresolved,false,,0,descriptive_deferred
protein_000119,15-lipoxygenase,outputs/json_dataset/full/protein_000119.json,outputs/json_dataset/best_only/protein_000119.json,unresolved,false,,0,descriptive_deferred
protein_000120,15-LOX,outputs/json_dataset/full/protein_000120.json,outputs/json_dataset/best_only/protein_000120.json,unresolved,false,,0,descriptive_deferred
protein_000121,16,outputs/json_dataset/full/protein_000121.json,outputs/json_dataset/best_only/protein_000121.json,unresolved,false,,0,noise_skipped
protein_000122,16-kDa γ-zein,outputs/json_dataset/full/protein_000122.json,outputs/json_dataset/best_only/protein_000122.json,unresolved,false,,0,descriptive_deferred
protein_000123,16:1/18:1 desaturase,outputs/json_dataset/full/protein_000123.json,outputs/json_dataset/best_only/protein_000123.json,unresolved,false,,0,descriptive_deferred
protein_000124,16S rRNA,outputs/json_dataset/full/protein_000124.json,outputs/json_dataset/best_only/protein_000124.json,unresolved,false,,0,descriptive_deferred
protein_000125,16S rRNA gene,outputs/json_dataset/full/protein_000125.json,outputs/json_dataset/best_only/protein_000125.json,unresolved,false,,0,descriptive_deferred
protein_000126,16S rRNA sequences,outputs/json_dataset/full/protein_000126.json,outputs/json_dataset/best_only/protein_000126.json,unresolved,false,,0,descriptive_deferred
protein_000127,16SrRNA,outputs/json_dataset/full/protein_000127.json,outputs/json_dataset/best_only/protein_000127.json,unresolved,false,,0,descriptive_deferred
protein_000128,17,outputs/json_dataset/full/protein_000128.json,outputs/json_dataset/best_only/protein_000128.json,unresolved,false,,0,noise_skipped
protein_000129,17.7,outputs/json_dataset/full/protein_000129.json,outputs/json_dataset/best_only/protein_000129.json,unresolved,false,,0,descriptive_deferred
protein_000130,18,outputs/json_dataset/full/protein_000130.json,outputs/json_dataset/best_only/protein_000130.json,unresolved,false,,0,noise_skipped
protein_000131,18S,outputs/json_dataset/full/protein_000131.json,outputs/json_dataset/best_only/protein_000131.json,unresolved,false,,0,descriptive_deferred
protein_000132,18S ribosomal gene,outputs/json_dataset/full/protein_000132.json,outputs/json_dataset/best_only/protein_000132.json,unresolved,false,,0,descriptive_deferred
protein_000133,18S rRNA,outputs/json_dataset/full/protein_000133.json,outputs/json_dataset/best_only/protein_000133.json,unresolved,false,,0,descriptive_deferred
protein_000134,18S rRNA gene,outputs/json_dataset/full/protein_000134.json,outputs/json_dataset/best_only/protein_000134.json,unresolved,false,,0,descriptive_deferred
protein_000135,18S rRNA genes,outputs/json_dataset/full/protein_000135.json,outputs/json_dataset/best_only/protein_000135.json,unresolved,false,,0,descriptive_deferred
protein_000136,18SrRNA-1,outputs/json_dataset/full/protein_000136.json,outputs/json_dataset/best_only/protein_000136.json,unresolved,false,,0,descriptive_deferred
protein_000137,18SrRNA-3,outputs/json_dataset/full/protein_000137.json,outputs/json_dataset/best_only/protein_000137.json,unresolved,false,,0,descriptive_deferred
protein_000138,19,outputs/json_dataset/full/protein_000138.json,outputs/json_dataset/best_only/protein_000138.json,unresolved,false,,0,noise_skipped
protein_000139,19-21,outputs/json_dataset/full/protein_000139.json,outputs/json_dataset/best_only/protein_000139.json,unresolved,false,,0,descriptive_deferred
protein_000140,1O2-responsive genes,outputs/json_dataset/full/protein_000140.json,outputs/json_dataset/best_only/protein_000140.json,unresolved,false,,0,descriptive_deferred
protein_000141,2,outputs/json_dataset/full/protein_000141.json,outputs/json_dataset/best_only/protein_000141.json,unresolved,false,,0,noise_skipped
protein_000142,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",outputs/json_dataset/full/protein_000142.json,outputs/json_dataset/best_only/protein_000142.json,unresolved,false,,0,descriptive_deferred
protein_000143,"2,3-oxidosqualene cyclases",outputs/json_dataset/full/protein_000143.json,outputs/json_dataset/best_only/protein_000143.json,unresolved,false,,0,descriptive_deferred
protein_000144,"2,4,6-trihydroxybenzophenone synthase",outputs/json_dataset/full/protein_000144.json,outputs/json_dataset/best_only/protein_000144.json,unresolved,false,,0,descriptive_deferred
protein_000145,2-alkenal reductase,outputs/json_dataset/full/protein_000145.json,outputs/json_dataset/best_only/protein_000145.json,unresolved,false,,0,descriptive_deferred
protein_000146,"2-C-methyl-d-erythritol 2,4-cyclodiphosphate synthase",outputs/json_dataset/full/protein_000146.json,outputs/json_dataset/best_only/protein_000146.json,unresolved,false,,0,descriptive_deferred
protein_000147,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,outputs/json_dataset/full/protein_000147.json,outputs/json_dataset/best_only/protein_000147.json,unresolved,false,,0,descriptive_deferred
protein_000148,"2-C-methyl-D-erythritol-2,4-cyclodiphosphate synthase",outputs/json_dataset/full/protein_000148.json,outputs/json_dataset/best_only/protein_000148.json,unresolved,false,,0,descriptive_deferred
protein_000149,2-CP,outputs/json_dataset/full/protein_000149.json,outputs/json_dataset/best_only/protein_000149.json,unresolved,false,,0,descriptive_deferred
protein_000150,2-CP genes,outputs/json_dataset/full/protein_000150.json,outputs/json_dataset/best_only/protein_000150.json,unresolved,false,,0,descriptive_deferred
protein_000151,2-CP1,outputs/json_dataset/full/protein_000151.json,outputs/json_dataset/best_only/protein_000151.json,unresolved,false,,0,descriptive_deferred
protein_000152,2-CP1/2,outputs/json_dataset/full/protein_000152.json,outputs/json_dataset/best_only/protein_000152.json,unresolved,false,,0,descriptive_deferred
protein_000153,2-CP2,outputs/json_dataset/full/protein_000153.json,outputs/json_dataset/best_only/protein_000153.json,unresolved,false,,0,descriptive_deferred
protein_000154,2-CPs,outputs/json_dataset/full/protein_000154.json,outputs/json_dataset/best_only/protein_000154.json,unresolved,false,,0,descriptive_deferred
protein_000155,2-cys peroxiredoxin,outputs/json_dataset/full/protein_000155.json,outputs/json_dataset/best_only/protein_000155.json,unresolved,false,,0,descriptive_deferred
protein_000156,2-Cys peroxiredoxin A,outputs/json_dataset/full/protein_000156.json,outputs/json_dataset/best_only/protein_000156.json,unresolved,false,,0,descriptive_deferred
protein_000157,2-Cys peroxiredoxin B,outputs/json_dataset/full/protein_000157.json,outputs/json_dataset/best_only/protein_000157.json,unresolved,false,,0,descriptive_deferred
protein_000158,2-Cys peroxiredoxin BAS1,outputs/json_dataset/full/protein_000158.json,outputs/json_dataset/best_only/protein_000158.json,unresolved,false,,0,descriptive_deferred
protein_000159,2-Cys peroxiredoxins,outputs/json_dataset/full/protein_000159.json,outputs/json_dataset/best_only/protein_000159.json,unresolved,false,,0,descriptive_deferred
protein_000160,2-Cys peroxiredoxins A,outputs/json_dataset/full/protein_000160.json,outputs/json_dataset/best_only/protein_000160.json,unresolved,false,,0,descriptive_deferred
protein_000161,2-Cys peroxiredoxins B,outputs/json_dataset/full/protein_000161.json,outputs/json_dataset/best_only/protein_000161.json,unresolved,false,,0,descriptive_deferred
protein_000162,2-Cys PRX,outputs/json_dataset/full/protein_000162.json,outputs/json_dataset/best_only/protein_000162.json,unresolved,false,,0,descriptive_deferred
protein_000163,2-hydroxyisoflavanone dehydratase,outputs/json_dataset/full/protein_000163.json,outputs/json_dataset/best_only/protein_000163.json,unresolved,false,,0,descriptive_deferred
protein_000164,2-isopropylmalate synthase,outputs/json_dataset/full/protein_000164.json,outputs/json_dataset/best_only/protein_000164.json,unresolved,false,,0,descriptive_deferred
protein_000165,2-oxidases,outputs/json_dataset/full/protein_000165.json,outputs/json_dataset/best_only/protein_000165.json,unresolved,false,,0,descriptive_deferred
protein_000166,2-oxoglutarate (2OG) and Fe (II)-dependent oxygenase gene,outputs/json_dataset/full/protein_000166.json,outputs/json_dataset/best_only/protein_000166.json,unresolved,false,,0,descriptive_deferred
protein_000167,2-oxoglutarate and Fe (II)-dependent oxygenase superfamily proteins,outputs/json_dataset/full/protein_000167.json,outputs/json_dataset/best_only/protein_000167.json,unresolved,false,,0,descriptive_deferred
protein_000168,2-oxoglutarate dehydrogenase,outputs/json_dataset/full/protein_000168.json,outputs/json_dataset/best_only/protein_000168.json,unresolved,false,,0,descriptive_deferred
protein_000169,2-oxoglutarate iron-dependent oxygenase superfamily,outputs/json_dataset/full/protein_000169.json,outputs/json_dataset/best_only/protein_000169.json,unresolved,false,,0,descriptive_deferred
protein_000170,2-oxoglutarate sensing,outputs/json_dataset/full/protein_000170.json,outputs/json_dataset/best_only/protein_000170.json,unresolved,false,,0,descriptive_deferred
protein_000171,2-oxoglutarate-dependent dioxygenase,outputs/json_dataset/full/protein_000171.json,outputs/json_dataset/best_only/protein_000171.json,unresolved,false,,0,descriptive_deferred
